INVOICE;Исходный;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
112;690546768;;"Частное торговое унитарное предприятие ""Никхим""";603;Продавец;Шеченков Владимир Викторович;112;691772248;;"Общество с ограниченной ответственностью ""ХимПромОил""";107;Покупатель; ;690546768-2018-0000000021;;Исходный;Выставлен. Подписан получателем;12.03.2018;22.02.2018;14.03.2018;;"""""";;;"""""";;"""""";"""""";;;"""173/06-15""";21.06.2015;ТТН-1;;402861;ЭК;"""0040400""";22.02.2018;1717;0;343,4;2060,4
112;100070543;;"ООО ""СВИАТ""";613;Продавец;Грихутик Анастасия Александровна;112;691772248;;ООО «ХимПромОил»;107;Покупатель; ;100070543-2018-0000010136;;Исходный;Выставлен. Подписан получателем;28.02.2018;22.02.2018;14.03.2018;;"""""";;;"""""";;"""""";"""""";;;"""18440""";25.10.2016;ТН-2;ТН-2;401951;ЖН;"""2081248""";22.02.2018;16,4;0;3,28;19,68
112;491316421;     ;"Общество с ограниченной ответственностью ""ГрандОйл""";432;Продавец;Железнякова Ольга Петровна;112;691772248;     ;"Общество с ограниченной ответственностью ""ХимПромОил""";107;Покупатель; ;491316421-2018-0000001168;;Исходный;Выставлен. Подписан получателем;28.02.2018;21.02.2018;12.03.2018;;"""""";;;"""""";;"""""";"""""";;;"""527/17""";11.12.2017;ТТН-1;ТТН-1;402961;ЮЯ;"""0729447""";21.02.2018;5572,1;0;1114,42;6686,52
112;190635842;;ООО Смартон;104;Продавец;Виршич Дарья Михайловна;112;691772248;;"ООО ""ХимПромОил""";107;Покупатель; ;190635842-2018-0000023288;;Исходный;Выставлен. Подписан получателем;05.03.2018;21.02.2018;14.03.2018;;"""""";;;"""""";;"""""";"""""";;;"""Договор №МИ00-00017838 от 18.10.2016""";18.10.2016;ТТН-1;ТТН;402961;ЮЯ;"""3011726""";21.02.2018;192,39;0;37,12;229,51
112;600125053;;ОАО Завод горного воска;617;Продавец;Лудчинская Елена Николаевна;112;691772248;;"ООО ""Химпромоил""";107;Покупатель; ;600125053-2018-0000000618;;Исходный;Выставлен. Подписан получателем;28.02.2018;20.02.2018;12.03.2018;;"""""";;;"""""";;"""""";"""""";;;"""174""";08.02.2018;ТТН-1;;402961;ЮК;"""5366737""";20.02.2018;2076,21;0;415,24;2491,45
112;101561144;9006;"Минский филиал РУП ""Белтаможсервис""";613;Продавец;Самыкова Диана Николаевна;112;691772248;     ;"ООО ""ХИМПРОМОИЛ""";107;Покупатель; ;101561144-2018-1000202733;;Исходный;Выставлен. Подписан получателем;07.03.2018;20.02.2018;12.03.2018;;"""""";;;"""""";;"""""";"""""";;;"""ТА-0600/0000128(07/14)-14-0626""";14.10.2014;Акт;Акт;;;"""30-0891""";20.02.2018;33,33;0;6,67;40
112;101561144;9006;"Минский филиал РУП ""Белтаможсервис""";613;Продавец;Телешева Ольга Михайловна;112;691772248;     ;"ООО ""ХимПромОил""";107;Покупатель; ;101561144-2018-1000177538;;Исходный;Выставлен. Подписан получателем;05.03.2018;20.02.2018;12.03.2018;;"""""";;;"""""";;"""""";"""""";;;"""СВ-0604/0000256-17-853""";11.09.2017;Акт;Акт;;;"""35-3467""";20.02.2018;45;0;9;54
112;190431542;;"РО ""Белагросервис""";107;Продавец;Соколовская Ольга Викторовна;112;691772248;;"ООО ""ХимПромОил""";107;Покупатель; ;190431542-2018-0000180976;;Исходный;Выставлен. Подписан получателем;05.03.2018;20.02.2018;12.03.2018;;"""""";;;"""""";;"""""";"""""";;;"""договор №13-3-5/32""";22.02.2017;ТН-2;;401951;ИХ;"""1427955""";20.02.2018;4264,22;0;426,42;4690,64
112;101223447;;"РУП ""Национальный центр маркетинга и конъюнктуры цен""";111;Продавец;Полевая Марина Владимировна;112;691772248;;"ООО ""Химпромоил""";107;Покупатель; ;101223447-2018-0000028972;;Исходный;Выставлен. Подписан получателем;26.02.2018;20.02.2018;12.03.2018;;"""""";;;"""""";;"""""";"""""";;;"""ЭТП-2015-03-18397""";11.03.2015;Акт;;;;"""ЭТП-2018-18397/131980""";20.02.2018;14,17;0;2,83;17
112;100003499;;"УП ""Минское отделение БЖД"" г. Минск ул. Свердлова 28 РБ";105;Продавец;Жук Наталия Евгеньевна;112;691772248;;"ООО ""ХимПромОил""";107;Покупатель; ;100003499-2018-0090008814;;Исходный;Выставлен. Подписан получателем;27.02.2018;19.02.2018;20.03.2018;;"""""";;;"""""";;"""""";"""""";;;"""9531НОДМ""";14.10.2014;Другое;Другое;;;"""K201""";19.02.2018;31,55;0;6,31;37,86
112;691834846;     ;"Общество с ограниченной ответственностью ""Город Масел""";613;Продавец;Кахно Татьяна Валерьевна;112;691772248;     ;"ООО ""ХимПромОил""";107;Покупатель; ;691834846-2018-0000000229;;Исходный;Выставлен. Подписан получателем;05.03.2018;19.02.2018;12.03.2018;;"""""";;;"""""";;"""""";"""""";;;"""б/н""";20.07.2017;ТТН-1;ТТН-1;402961;ЮР;"""7063078""";19.02.2018;798,7;0;159,74;958,44
112;100003499;;"УП ""Минское отделение БЖД"" г. Минск ул. Свердлова 28 РБ";105;Продавец;Жук Наталия Евгеньевна;112;691772248;;"ООО ""ХимПромОил""";107;Покупатель; ;100003499-2018-1090008814;;Исходный;Выставлен. Подписан получателем;03.03.2018;19.02.2018;20.03.2018;;"""""";;;"""""";;"""""";"""""";;;"""9531НОДМ""";14.10.2014;Другое;Другое;;;"""K201""";19.02.2018;7,95;0;1,59;9,54
112;691834846;     ;"Общество с ограниченной ответственностью ""Город Масел""";613;Продавец;Кахно Татьяна Валерьевна;112;691772248;     ;"ООО ""ХимПромОил""";107;Покупатель; ;691834846-2018-0000000228;;Исходный;Выставлен. Подписан получателем;05.03.2018;19.02.2018;12.03.2018;;"""""";;;"""""";;"""""";"""""";;;"""б/н""";20.07.2017;ТТН-1;ТТН-1;402961;ЮР;"""7063076""";19.02.2018;1083,33;0;216,67;1300
112;101223447;;"РУП ""Национальный центр маркетинга и конъюнктуры цен""";111;Продавец;Негодько Татьяна Зеноновна;112;691772248;;"ООО ""Химпромоил""";107;Покупатель; ;101223447-2018-0000027369;;Исходный;Выставлен. Подписан получателем;22.02.2018;16.02.2018;12.03.2018;;"""""";;;"""""";;"""""";"""""";;;"""ЭТП-2015-03-18397""";11.03.2015;Акт;;;;"""ЭТП-2018-18397/132144""";16.02.2018;14,17;0;2,83;17
112;192153016;     ;"Индивидуальный предприниматель ""Грунтов Геннадий Евгеньевич""";107;Продавец;Грунтов Геннадий Евгеньевич;112;691772248;     ;"ООО ""ХимПромОил""";107;Покупатель; ;192153016-2018-0000000049;;Исходный;Выставлен. Подписан получателем;12.03.2018;15.02.2018;14.03.2018;;"""""";;;"""""";;"""""";"""""";;;"""б/н""";22.11.2016;ТТН-1;ТТН-1;402961;ЮХ;"""5221939""";15.02.2018;372;0;74,4;446,4
112;190063577;;"ООО ""Еврозапчасть""";109;Продавец;Шпиганович Ольга Григорьевна;112;691772248;;"Общество с ограниченной ответственностью ""ХимПромОил""";107;Покупатель; ;190063577-2018-1000099431;;Исходный;Выставлен. Подписан получателем;21.02.2018;15.02.2018;12.03.2018;;"""""";;;"""""";;"""""";"""""";;;"""Договор поставки б/н""";03.01.2018;ТТН-1;ТТН-1;402962;иж;"""0701720""";15.02.2018;520,8;0;104,16;624,96
112;191471136;;"Общество с ограниченной ответственностью ""БелСпросШина""";111;Продавец;Храмцевич Дмитрий Валерьевич;112;691772248;;"ООО ""ХимПромОил""";107;Покупатель; ;191471136-2018-0000003719;;Исходный;Выставлен. Подписан получателем;19.02.2018;15.02.2018;12.03.2018;;"""""";;;"""""";;"""""";"""""";;;"""б/н""";14.11.2016;ТТН-1;;402961;ЮХ;"""2138226""";15.02.2018;948;0;189,6;1137,6
112;691834846;     ;"Общество с ограниченной ответственностью ""Город Масел""";613;Продавец;Кахно Татьяна Валерьевна;112;691772248;     ;"ООО ""ХимПромОил""";107;Покупатель; ;691834846-2018-0000000211;;Исходный;Выставлен. Подписан получателем;05.03.2018;14.02.2018;12.03.2018;;"""""";;;"""""";;"""""";"""""";;;"""б/н""";20.07.2017;ТТН-1;ТТН-1;402961;ЮР;"""7063064""";14.02.2018;303,93;0;60,79;364,72
112;101161433;     ;"Закрытое акционерное общество ""Дилерский центр АвтоГАЗ Колядичи""";105;Продавец;Краснова Виктория Валерьевна;112;691772248;     ;"ООО ""ХимПромОил""";107;Покупатель; ;101161433-2018-0000032264;;Исходный;Выставлен. Подписан получателем;04.03.2018;14.02.2018;12.03.2018;;"""""";;;"""""";;"""""";"""""";;;"""9523""";13.02.2018;Акт выполненных работ;;;;"""9523""";14.02.2018;89,99;0;18;107,99
112;490834726;     ;"Общество с ограниченной ответственностью ""ПолиНафта""";422;Продавец;Пинчук Валентина Николаевна;112;691772248;     ;"ООО ""ХимПромОйл""";107;Покупатель; ;490834726-2018-0000000022;;Исходный;Выставлен. Подписан получателем;01.03.2018;14.02.2018;12.03.2018;;"""""";;;"""""";;"""""";"""""";;;"""28/06""";28.06.2016;ТН-2;ТН-2;401951;ИЭ;"""2148720""";14.02.2018;255;0;51;306
112;191471136;;"Общество с ограниченной ответственностью ""БелСпросШина""";111;Продавец;Храмцевич Дмитрий Валерьевич;112;691772248;;"ООО ""ХимПромОил""";107;Покупатель; ;191471136-2018-0000003711;;Исходный;Выставлен. Подписан получателем;15.02.2018;14.02.2018;12.03.2018;;"""""";;;"""""";;"""""";"""""";;;"""б/н""";14.11.2016;ТТН-1;;402961;ЮХ;"""2138221""";14.02.2018;2601,42;0;520,28;3121,7
112;101223447;;"РУП ""Национальный центр маркетинга и конъюнктуры цен""";111;Продавец;Негодько Татьяна Зеноновна;112;691772248;;"ООО ""Химпромоил""";107;Покупатель; ;101223447-2018-0000025980;;Исходный;Выставлен. Подписан получателем;20.02.2018;14.02.2018;12.03.2018;;"""""";;;"""""";;"""""";"""""";;;"""ЭТП-2015-03-18397""";11.03.2015;Акт;;;;"""ЭТП-2018-18397/131176""";14.02.2018;14,17;0;2,83;17
112;191875572;;"Частное торговое унитарное предприятие ""Роса-смазочные материалы""";112;Продавец;Гуринович Евгений Фёдорович;112;691772248;;"Общество с ограниченной ответственностью ""ХимПромОйл""";107;Покупатель; ;191875572-2018-0000000169;;Исходный;Выставлен. Подписан получателем;03.03.2018;14.02.2018;12.03.2018;;"""""";;;"""""";;"""""";"""""";;;"""106""";14.02.2018;ТН-2;ТН-2;401951;ЖН;"""2091142""";14.02.2018;1440;0;288;1728
112;500063150;;"ГЛХУ ""Сморгонский опытный лесхоз""";518;Продавец;Глебович Людмила Иосифовна;112;691772248;;"ООО""ХимПромОил""";107;Покупатель; ;500063150-2018-0031606432;;Исходный;Выставлен. Подписан получателем;21.02.2018;13.02.2018;12.03.2018;;"""""";;;"""""";;"""""";"""""";;;"""22""";21.01.2017;ТТН-1;Товарно-транспортная накладная (ПЭВМ) альб.;402962;ГЮ;"""0034495""";13.02.2018;24;0;4,8;28,8
112;190063577;;"ООО ""Еврозапчасть""";109;Продавец;Шпиганович Ольга Григорьевна;112;691772248;;"Общество с ограниченной ответственностью ""ХимПромОил""";107;Покупатель; ;190063577-2018-1000093726;;Исходный;Выставлен. Подписан получателем;21.02.2018;12.02.2018;14.03.2018;;"""""";;;"""""";;"""""";"""""";;;"""Договор поставки б/н""";03.01.2018;ТТН-1;ТТН-1;402962;иж;"""0677304""";12.02.2018;209,75;0;41,95;251,7
112;691834846;     ;"Общество с ограниченной ответственностью ""Город Масел""";613;Продавец;Кахно Татьяна Валерьевна;112;691772248;     ;"ООО ""ХимПромОил""";107;Покупатель; ;691834846-2018-0000000200;;Исходный;Выставлен. Подписан получателем;05.03.2018;12.02.2018;12.03.2018;;"""""";;;"""""";;"""""";"""""";;;"""б/н""";20.07.2017;ТТН-1;ТТН-1;402961;ЮР;"""7063059""";12.02.2018;101,31;0;20,26;121,57
112;100160363;     ;"ООО ""Надежные программы""";104;Продавец;Максимова Светлана Иосифовна;112;691772248;     ;"ООО ""ХимПромОил""";107;Покупатель; ;100160363-2018-0000060272;;Исходный;Выставлен. Подписан получателем;01.03.2018;12.02.2018;12.03.2018;;"""""";;;"""""";;"""""";"""""";;;"""public_offer""";;Акт;;;;"""79463""";12.02.2018;158,4;0;31,68;190,08
112;101561144;9006;"Минский филиал РУП ""Белтаможсервис""";613;Продавец;Самыкова Диана Николаевна;112;691772248;     ;"ООО ""ХИМПРОМОИЛ""";107;Покупатель; ;101561144-2018-1000202583;;Исходный;Выставлен. Подписан получателем;07.03.2018;12.02.2018;12.03.2018;;"""""";;;"""""";;"""""";"""""";;;"""ТА-0600/0000128(07/14)-14-0626""";14.10.2014;Акт;Акт;;;"""30-0736""";12.02.2018;33,33;0;6,67;40
112;691834846;     ;"Общество с ограниченной ответственностью ""Город Масел""";613;Продавец;Кахно Татьяна Валерьевна;112;691772248;     ;"ООО ""ХимПромОил""";107;Покупатель; ;691834846-2018-0000000201;;Исходный;Выставлен. Подписан получателем;05.03.2018;12.02.2018;12.03.2018;;"""""";;;"""""";;"""""";"""""";;;"""б/н""";20.07.2017;ТТН-1;ТТН-1;402961;ЮР;"""7063058""";12.02.2018;1154,75;0;230,95;1385,7
112;190806803;     ;"Общество с ограниченной ответственностью ""Триовист""";111;Продавец;Юськова Наталья Михайловна;112;691772248;     ;"ООО ""ХимПромОил""";107;Покупатель; ;190806803-2018-0000008203;;Исходный;Выставлен. Подписан получателем;07.03.2018;09.02.2018;12.03.2018;;"""""";;;"""""";;"""""";"""""";;;"""200.890.364""";08.02.2018;ТТН-1;;402961;ЮЯ;"""4055468""";09.02.2018;35,43;0;7,09;42,52
112;100511773;     ;"Общество с ограниченной ответственностью ""Инфотроник""";107;Продавец;Коренная Светлана Петровна;112;691772248;     ;Химпромоил, ООО;107;Покупатель; ;100511773-2018-0000000946;;Исходный;Выставлен. Подписан получателем;07.03.2018;09.02.2018;14.03.2018;;"""""";;;"""""";;"""""";"""""";;;"""4""";02.10.2017;ТН-2;ТН-2;401951;ЖХ;"""1414167""";09.02.2018;121,97;0;24,39;146,36
112;100070543;;"ООО ""СВИАТ""";613;Продавец;Грихутик Анастасия Александровна;112;691772248;;ООО «ХимПромОил»;107;Покупатель; ;100070543-2018-0000008105;;Исходный;Выставлен. Подписан получателем;14.02.2018;08.02.2018;12.03.2018;;"""""";;;"""""";;"""""";"""""";;;"""18440""";25.10.2016;ТТН-1;ТТН-1;402961;ЮЭ;"""4185824""";08.02.2018;91,43;0;18,29;109,72
112;190542056;;"ОАО ""Белорусская универсальная товарная биржа""";105;Продавец;Ахременко Денис Валерьевич;112;691772248;;"Общество с ограниченной ответственностью ""ХимПромОил""";107;Покупатель; ;190542056-2018-0000027394;;Исходный;Выставлен. Подписан получателем;06.03.2018;08.02.2018;12.03.2018;;"""""";;;"""""";;"""""";"""""";;;"""40620""";05.02.2016;Другое;Другое;;;"""O20180124154155""";08.02.2018;15;0;3;18
112;191847406;     ;"Унитарное предприятие по оказанию услуг ""Удостоверяющий центр ""БУТБ""";105;Продавец;Лазаренко Дарья Александровна;112;691772248;     ;"Общество с ограниченной ответственностью ""ХимПромОил""";107;Покупатель; ;191847406-2018-0000002461;;Исходный;Выставлен. Подписан получателем;21.02.2018;07.02.2018;12.03.2018;;"""""";;;"""""";;"""""";"""""";;;"""12738""";07.02.2018;Акт;;;;"""12738""";07.02.2018;125;0;25;150
112;691834846;     ;"Общество с ограниченной ответственностью ""Город Масел""";613;Продавец;Кахно Татьяна Валерьевна;112;691772248;     ;"ООО ""ХимПромОил""";107;Покупатель; ;691834846-2018-0000000183;;Исходный;Выставлен. Подписан получателем;05.03.2018;07.02.2018;12.03.2018;;"""""";;;"""""";;"""""";"""""";;;"""б/н""";20.07.2017;ТТН-1;ТТН-1;402961;ЮР;"""7063038""";07.02.2018;8164,58;0;1632,92;9797,5
112;101223447;;"РУП ""Национальный центр маркетинга и конъюнктуры цен""";111;Продавец;Негодько Татьяна Зеноновна;112;691772248;;"ООО ""Химпромоил""";107;Покупатель; ;101223447-2018-0000021712;;Исходный;Выставлен. Подписан получателем;16.02.2018;07.02.2018;12.03.2018;;"""""";;;"""""";;"""""";"""""";;;"""ЭТП-2015-03-18397""";11.03.2015;Акт;;;;"""ЭТП-2018-18397/131746""";07.02.2018;14,17;0;2,83;17
112;100205819;;"ООО ""Пуми-С""";106;Продавец;Зенько Лилия Алексеевна;112;691772248;;"ООО ""ХимПромОил""";107;Покупатель; ;100205819-2018-0000000343;;Исходный;Выставлен. Подписан получателем;06.02.2018;05.02.2018;12.02.2018;;"""""";;;"""""";;"""""";"""""";;;"""452""";14.07.2017;ТН-2;;401951;ЖС;"""1069789""";05.02.2018;69,6;0;13,92;83,52
112;190542056;;"ОАО ""Белорусская универсальная товарная биржа""";105;Продавец;Ахременко Денис Валерьевич;112;691772248;;"Общество с ограниченной ответственностью ""ХимПромОил""";107;Покупатель; ;190542056-2018-0000024913;;Исходный;Выставлен. Подписан получателем;06.03.2018;05.02.2018;12.03.2018;;"""""";;;"""""";;"""""";"""""";;;"""8775""";19.07.2016;Другое;Другое;;;"""64555""";05.02.2018;1,8;0;0,36;2,16
112;192077474;;"ООО ""БиКрафтОйл""";109;Продавец;Ботян Ольга Александровна;112;691772248;     ;"ООО ""ХимПромОйл""";107;Покупатель; ;192077474-2018-0000001123;;Исходный;Выставлен. Подписан получателем;02.03.2018;05.02.2018;12.03.2018;;"""""";;;"""""";;"""""";"""""";;;"""1901""";25.08.2016;ТТН-1;;402961;ЮЭ;"""3020632""";05.02.2018;1356,45;0;271,29;1627,74
112;100003499;;"УП ""Минское отделение БЖД"" г. Минск ул. Свердлова 28 РБ";105;Продавец;Жук Наталия Евгеньевна;112;691772248;;"ООО ""ХимПромОил""";107;Покупатель; ;100003499-2018-0090005985;;Исходный;Выставлен. Подписан получателем;14.02.2018;04.02.2018;12.03.2018;;"""""";;;"""""";;"""""";"""""";;;"""9531НОДМ""";14.10.2014;Другое;Другое;;;"""K122""";04.02.2018;67,76;0;13,55;81,31
112;100003499;;"УП ""Минское отделение БЖД"" г. Минск ул. Свердлова 28 РБ";105;Продавец;Жук Наталия Евгеньевна;112;691772248;;"ООО ""ХимПромОил""";107;Покупатель; ;100003499-2018-0090005986;;Исходный;Выставлен. Подписан получателем;19.02.2018;03.02.2018;12.03.2018;;"""""";;;"""""";;"""""";"""""";;;"""9531НОДМ""";14.10.2014;Другое;Другое;;;"""24691570""";25.01.2018;1547,11;0;7,9;1555,01
112;100003499;;"УП ""Минское отделение БЖД"" г. Минск ул. Свердлова 28 РБ";105;Продавец;Жук Наталия Евгеньевна;112;691772248;;"ООО ""ХимПромОил""";107;Покупатель; ;100003499-2018-0090007288;;Дополнительный без ссылки;Выставлен. Подписан получателем;19.02.2018;03.02.2018;20.03.2018;;"""""";;;"""""";;"""""";"""""";;;"""9531НОДМ""";14.10.2014;Другое;Другое;;;"""215405""";25.01.2018;-39,5;0;-7,9;-47,4
112;190638152;;"ООО ""Автофарт""";105;Продавец;Дрозд Ольга Ивановна;112;691772248;;"ООО ""ХимПромОил""";107;Покупатель; ;190638152-2018-0000000090;;Исходный;Выставлен. Подписан получателем;06.03.2018;03.02.2018;14.03.2018;;"""""";;;"""""";;"""""";"""""";;;"""25""";01.11.2016;Акт выполненных работ;;;;"""0000040""";03.02.2018;600;0;120;720
112;191439844;;"Иностранное унитарное предприятие ""Стэнком""";108;Продавец;Щербаков Виктор Владимирович;112;691772248;;"ООО ""ХимПромОил""";107;Покупатель; ;191439844-2018-0000000013;;Исходный;Выставлен. Подписан получателем;06.02.2018;02.02.2018;12.02.2018;;"""""";;;"""""";;"""""";"""""";;;"""1428601""";13.10.2014;ТН-2;;401851;ПЮ;"""2497100""";02.02.2018;69138,55;0;13827,72;82966,27
112;192691523;;"Частное предприятие ""Силтри-Агро""";106;Продавец;Бедулин Алексей Юрьевич;112;691772248;;"ООО ""ХимПромОил""";107;Покупатель; ;192691523-2018-0000000037;;Исходный;Выставлен. Подписан получателем;09.03.2018;02.02.2018;12.03.2018;;"""""";;;"""""";;"""""";"""""";;;"""б/н""";02.02.2018;ТН-2;;401951;ЖЛ;"""1580025""";02.02.2018;280;0;56;336
112;191382353;;"Общество с ограниченной ответственностью ""Европровод""";112;Продавец;Милокостова Татьяна Юрьевна;112;691772248;;"Общество с ограниченной ответственностью ""ХимПромОил""";107;Покупатель; ;191382353-2018-0000028304;;Исходный;Выставлен. Подписан получателем;23.02.2018;02.02.2018;12.03.2018;;"""""";;;"""""";;"""""";"""""";;;"""3927""";02.02.2018;ТН-2;;401951;ЖУ;"""0247220""";02.02.2018;142,4;0;28,48;170,88
112;190542056;;"ОАО ""Белорусская универсальная товарная биржа""";105;Продавец;Ахременко Денис Валерьевич;112;691772248;;"Общество с ограниченной ответственностью ""ХимПромОил""";107;Покупатель; ;190542056-2018-0000023531;;Исходный;Выставлен. Подписан получателем;06.03.2018;01.02.2018;12.03.2018;;"""""";;;"""""";;"""""";"""""";;;"""8775""";19.07.2016;Другое;Другое;;;"""64317""";01.02.2018;11,52;0;2,3;13,82
112;190726138;;"Государственное предприятие ""Центр Систем Идентификации""";107;Продавец;Дзагания Нина Тенгизовна;112;691772248;;"ООО ""ХимПромОил""";107;Покупатель; ;190726138-2018-0000005235;;Исходный;Выставлен. Подписан получателем;05.02.2018;31.01.2018;12.02.2018;;"""""";;;"""""";;"""""";"""""";;;"""ПМ50/01294/17""";23.04.2017;Акт;;;;"""ПМ50/01294/17""";31.01.2018;6,72;0;1,34;8,06
112;191426062;;Гоман К. Н.;107;Продавец;Гоман Кирилл Николаевич;112;691772248;;"ООО ""ХимПромОил""";107;Покупатель; ;191426062-2018-0000000031;;Исходный;Выставлен. Подписан получателем;12.02.2018;31.01.2018;12.02.2018;;"""""";;;"""""";;"""""";"""""";;;"""1-с""";01.05.2015;Договор;;;;"""1-с""";01.05.2015;1393,35;0;278,67;1672,02
